DATE,SP500,NASDAQCOM
2015-01-02,2058.20,4726.81
2015-01-05,2020.58,4652.57
2015-01-06,2002.61,4592.74
2015-01-07,2025.90,4650.47
2015-01-08,2062.14,4736.19
2015-01-09,2044.81,4704.07
2015-01-12,2028.26,4664.71
2015-01-13,2023.03,4661.50
2015-01-14,2011.27,4639.32
2015-01-15,1992.67,4570.82
2015-01-16,2019.42,4634.38
2015-01-19,.,.
2015-01-20,2022.55,4654.85
2015-01-21,2032.12,4667.42
2015-01-22,2063.15,4750.40
2015-01-23,2051.82,4757.88
2015-01-26,2057.09,4771.76
2015-01-27,2029.55,4681.50
2015-01-28,2002.16,4637.99
2015-01-29,2021.25,4683.41
2015-01-30,1994.99,4635.24
2015-02-02,2020.85,4676.69
2015-02-03,2050.03,4727.74
2015-02-04,2041.51,4716.70
2015-02-05,2062.52,4765.10
2015-02-06,2055.47,4744.40
2015-02-09,2046.74,4726.01
2015-02-10,2068.59,4787.64
2015-02-11,2068.53,4801.18
2015-02-12,2088.48,4857.61
2015-02-13,2096.99,4893.84
2015-02-16,.,.
2015-02-17,2100.34,4899.27
2015-02-18,2099.68,4906.36
2015-02-19,2097.45,4924.70
2015-02-20,2110.30,4955.97
2015-02-23,2109.66,4960.97
2015-02-24,2115.48,4968.12
2015-02-25,2113.86,4967.14
2015-02-26,2110.74,4987.89
2015-02-27,2104.50,4963.53
2015-03-02,2117.39,5008.10
2015-03-03,2107.78,4979.90
2015-03-04,2098.53,4967.14
2015-03-05,2101.04,4982.81
2015-03-06,2071.26,4927.37
2015-03-09,2079.43,4942.44
2015-03-10,2044.16,4859.79
2015-03-11,2040.24,4849.94
2015-03-12,2065.95,4893.29
2015-03-13,2053.40,4871.76
2015-03-16,2081.19,4929.51
2015-03-17,2074.28,4937.43
2015-03-18,2099.50,4982.83
2015-03-19,2089.27,4992.38
2015-03-20,2108.10,5026.42
2015-03-23,2104.42,5010.97
2015-03-24,2091.50,4994.73
2015-03-25,2061.05,4876.52
2015-03-26,2056.15,4863.36
2015-03-27,2061.02,4891.22
2015-03-30,2086.24,4947.44
2015-03-31,2067.89,4900.89
2015-04-01,2059.69,4880.23
2015-04-02,2066.96,4886.94
2015-04-03,.,.
2015-04-06,2080.62,4917.32
2015-04-07,2076.33,4910.23
2015-04-08,2081.90,4950.82
