Normal,Student,Plackett,Clayton,Frank,Gumbel
-2.761465033,-2.748777173,-2.591618743,-2.879206086,-2.444238668,-2.558419785
-2.862567345,-3.113730888,-2.767165723,-3.080152644,-2.698691413,-2.83007566
-2.850158364,-2.953916184,-2.640028708,-2.874009265,-2.525076647,-2.622498899
-2.652689209,-2.581695685,-2.332647088,-2.540589649,-2.257936313,-2.375934469
-2.448753957,-2.43071015,-2.429892529,-2.559508538,-2.191892726,-2.462742917
-2.17420978,-2.234829131,-2.139416111,-2.276695315,-2.020768727,-2.310751883
-2.323646986,-2.105381517,-2.078497547,-2.174121454,-1.820321365,-1.961324515
-2.041921881,-1.97439659,-1.874945241,-2.195277549,-1.787290269,-1.98884991
-2.157777526,-2.114954044,-1.915316927,-2.239762531,-1.87707277,-2.075223961
-1.67592876,-1.809244355,-1.62272697,-1.842544798,-1.455510228,-1.666569468
-1.595950706,-1.627947362,-1.413093607,-1.747262702,-1.420589482,-1.757265236
-1.525752767,-1.5591985,-1.46799492,-1.51948791,-1.266869414,-1.432056113
-1.388676333,-1.579735377,-1.262664587,-1.474129532,-1.217551975,-1.347755873
-1.284665831,-1.278250617,-1.204017107,-1.406760411,-1.026457654,-1.111054961
-1.210073534,-1.220343888,-1.126988646,-1.327228461,-0.950534267,-1.253870029
-2.366919551,-2.375067504,-2.343113495,-2.417695855,-2.052111078,-2.256307588
-2.582529456,-2.665590187,-2.46218877,-2.75269601,-2.413702363,-2.435920085
-2.384392448,-2.409079271,-2.266465624,-2.471814073,-2.187450364,-2.194116487
-2.27387261,-2.220978878,-2.097540645,-2.226781704,-1.880013673,-2.124572387
-2.379595125,-2.255874611,-2.188919218,-2.506001512,-1.993410128,-2.337214952
-2.216663945,-2.27351006,-2.194891327,-2.323249157,-1.955930538,-2.059095515
-2.015979535,-1.860574055,-1.939980482,-2.20752766,-1.742271939,-1.883703661
-2.162187065,-2.043902294,-1.985721749,-2.00824095,-1.817306366,-2.029757056
-1.950263223,-1.968941751,-1.883266619,-1.998370458,-1.859252238,-1.884735154
-1.9619027,-1.842462335,-1.770761044,-2.071213827,-1.680394403,-1.712212299
-1.933349216,-1.959716404,-1.833438577,-2.108802315,-1.608696949,-1.872936369
-1.977262839,-1.902998489,-1.845066967,-1.897794383,-1.792742694,-1.868611364
-1.770216647,-1.900670001,-1.665701556,-1.950813159,-1.56157063,-1.679236895
-1.701827887,-1.579586587,-1.63855878,-1.822470004,-1.446867517,-1.656007851
-1.681177527,-1.678393286,-1.460268666,-1.722664671,-1.356991506,-1.44385851
